accent,difficulty,confidence,content,wrdLength
American_US,Easy,1.0,the,3
American_US,Easy,1.0,world,5
American_US,Easy,1.0,needs,5
American_US,Easy,0.996,you,3
American_US,Easy,0.9369,stop,4
American_US,Easy,1.0,being,5
American_US,Easy,1.0,boring,6
American_US,Easy,1.0,yeah,4
American_US,Easy,0.993,you,3
American_US,Easy,0.9988,boring,6
American_US,Easy,1.0,is,2
American_US,Easy,1.0,easy,4
American_US,Easy,1.0,everybody,9
American_US,Easy,0.7636,can,3
American_US,Easy,1.0,be,2
American_US,Easy,0.9986,boring,6
American_US,Easy,1.0,whether,7
American_US,Easy,1.0,good,4
American_US,Easy,1.0,or,2
American_US,Easy,1.0,not,3
American_US,Easy,1.0,life,4
American_US,Easy,1.0,is,2
American_US,Easy,1.0,not,3
American_US,Easy,1.0,a,1
American_US,Easy,1.0,game,4
American_US,Easy,1.0,people,6
American_US,Easy,1.0,life,4
American_US,Easy,1.0,a,1
American_US,Easy,0.8262,serial,6
American_US,Easy,1.0,either,6
American_US,Easy,1.0,well,4
American_US,Easy,1.0,it,2
American_US,Easy,1.0,is,2
American_US,Easy,1.0,a,1
American_US,Easy,0.8549,serial,6
American_US,Easy,1.0,and,3
American_US,Easy,1.0,if,2
American_US,Easy,1.0,life,4
American_US,Easy,1.0,was,3
American_US,Easy,0.9625,a,1
American_US,Easy,1.0,game,4
American_US,Easy,1.0,we,2
American_US,Easy,1.0,on,2
American_US,Easy,1.0,the,3
American_US,Easy,1.0,same,4
American_US,Easy,1.0,team,4
American_US,Easy,1.0,i,1
American_US,Easy,1.0,mean,4
American_US,Easy,1.0,really,6
American_US,Easy,0.9469,right,5
American_US,Easy,1.0,on,2
American_US,Easy,1.0,your,4
American_US,Easy,1.0,team,4
American_US,Easy,1.0,beyond,6
American_US,Easy,1.0,my,2
American_US,Easy,1.0,team,4
American_US,Easy,1.0,this,4
American_US,Easy,1.0,is,2
American_US,Easy,1.0,life,4
American_US,Easy,1.0,people,6
American_US,Easy,1.0,we,2
American_US,Easy,1.0,got,3
American_US,Easy,1.0,air,3
American_US,Easy,1.0,coming,6
American_US,Easy,1.0,through,7
American_US,Easy,1.0,your,4
American_US,Easy,0.9998,nose,4
American_US,Easy,0.964,a,1
American_US,Easy,1.0,poem,4
American_US,Easy,1.0,two,3
American_US,Easy,1.0,roads,5
American_US,Easy,1.0,diverged,8
American_US,Easy,1.0,in,2
American_US,Easy,1.0,the,3
American_US,Easy,0.9999,woods,5
American_US,Easy,1.0,and,3
American_US,Easy,1.0,i,1
American_US,Easy,1.0,took,4
American_US,Easy,1.0,the,3
American_US,Easy,1.0,road,4
American_US,Easy,1.0,less,4
American_US,Easy,1.0,traveled,8
American_US,Easy,1.0,and,3
American_US,Easy,1.0,it,2
American_US,Easy,0.9987,hurt,4
American_US,Easy,0.9981,man,3
American_US,Easy,0.8083,really,6
American_US,Easy,1.0,bad,3
American_US,Easy,0.9234,rocks,5
American_US,Easy,0.8125,thorns,6
American_US,Easy,1.0,and,3
American_US,Easy,1.0,glass,5
American_US,Easy,0.9998,not,3
American_US,Easy,0.9958,cool,4
American_US,Easy,1.0,robert,6
American_US,Easy,1.0,frost,5
American_US,Easy,1.0,but,3
American_US,Easy,1.0,what,4
American_US,Easy,1.0,if,2
American_US,Easy,0.9988,there,5
American_US,Easy,0.9968,really,6
American_US,Easy,1.0,were,4
American_US,Easy,0.9784,two,3
American_US,Easy,1.0,paths,5
American_US,Easy,1.0,i,1
American_US,Easy,1.0,want,4
American_US,Easy,1.0,to,2
American_US,Easy,1.0,be,2
American_US,Easy,1.0,in,2
American_US,Easy,1.0,the,3
American_US,Easy,0.9992,one,3
American_US,Easy,1.0,that,4
American_US,Easy,1.0,leads,5
American_US,Easy,0.4154,toa,3
American_US,Easy,0.9994,awesome,7
American_US,Easy,1.0,like,4
American_US,Easy,1.0,that,4
American_US,Easy,0.9994,dude,4
American_US,Easy,1.0,journey,7
American_US,Easy,1.0,said,4
American_US,Easy,1.0,stop,4
American_US,Easy,1.0,believing,9
American_US,Easy,1.0,unless,6
American_US,Easy,0.8378,your,4
American_US,Easy,1.0,dream,5
American_US,Easy,0.9997,is,2
American_US,Easy,0.9953,stupid,6
American_US,Easy,0.969,then,4
American_US,Easy,1.0,you,3
American_US,Easy,1.0,should,6
American_US,Easy,1.0,give,4
American_US,Easy,1.0,up,2
American_US,Easy,1.0,your,4
American_US,Easy,0.9997,dream,5
American_US,Easy,1.0,i,1
American_US,Easy,1.0,think,5
American_US,Easy,1.0,how,3
American_US,Easy,1.0,it,2
American_US,Easy,0.9998,goes,4
American_US,Easy,0.9894,you,3
American_US,Easy,1.0,better,6
American_US,Easy,0.9976,dream,5
American_US,Easy,0.9974,to,2
American_US,Easy,1.0,keep,4
American_US,Easy,1.0,going,5
American_US,Easy,1.0,keep,4
American_US,Easy,1.0,going,5
American_US,Easy,1.0,keep,4
American_US,Easy,1.0,going,5
American_US,Easy,1.0,and,3
American_US,Easy,1.0,keep,4
American_US,Easy,1.0,going,5
American_US,Easy,1.0,what,4
American_US,Easy,1.0,if,2
American_US,Easy,1.0,michael,7
American_US,Easy,1.0,jordan,6
American_US,Easy,1.0,had,3
American_US,Easy,0.9993,quit,4
American_US,Easy,1.0,well,4
American_US,Easy,1.0,he,2
American_US,Easy,1.0,did,3
American_US,Easy,1.0,quit,4
American_US,Easy,0.9744,no,2
American_US,Easy,1.0,he,2
American_US,Easy,0.9996,retired,7
American_US,Easy,1.0,yeah,4
American_US,Easy,1.0,yes,3
American_US,Easy,1.0,he,2
American_US,Easy,0.9996,retired,7
American_US,Easy,1.0,but,3
American_US,Easy,1.0,before,6
American_US,Easy,1.0,that,4
American_US,Easy,1.0,in,2
American_US,Easy,1.0,high,4
American_US,Easy,1.0,school,6
American_US,Easy,1.0,what,4
American_US,Easy,1.0,if,2
American_US,Easy,1.0,he,2
American_US,Easy,0.9989,quit,4
American_US,Easy,1.0,when,4
American_US,Easy,1.0,he,2
American_US,Easy,1.0,make,4
American_US,Easy,1.0,the,3
American_US,Easy,1.0,team,4
American_US,Easy,1.0,he,2
American_US,Easy,1.0,would,5
American_US,Easy,1.0,never,5
American_US,Easy,0.9977,make,4
American_US,Easy,1.0,space,5
American_US,Easy,0.9997,jam,3
American_US,Easy,1.0,and,3
American_US,Easy,1.0,i,1
American_US,Easy,0.9997,love,4
American_US,Easy,1.0,space,5
American_US,Easy,0.9999,jam,3
American_US,Easy,1.0,what,4
American_US,Easy,1.0,will,4
American_US,Easy,1.0,be,2
American_US,Easy,0.999,your,4
American_US,Easy,1.0,space,5
American_US,Easy,0.9999,jam,3
American_US,Easy,1.0,what,4
American_US,Easy,0.9997,will,4
American_US,Easy,1.0,you,3
American_US,Easy,1.0,create,6
American_US,Easy,0.9941,to,2
American_US,Easy,1.0,make,4
American_US,Easy,0.9767,a,1
American_US,Easy,1.0,world,5
American_US,Easy,0.9998,awesome,7
American_US,Easy,1.0,nothing,7
American_US,Easy,0.9891,if,2
American_US,Easy,0.9749,you,3
American_US,Easy,0.9988,keep,4
American_US,Easy,1.0,sitting,7
American_US,Easy,0.9977,there,5
American_US,Easy,1.0,why,3
American_US,Easy,1.0,talking,7
American_US,Easy,1.0,to,2
American_US,Easy,1.0,you,3
American_US,Easy,1.0,today,5
American_US,Easy,1.0,this,4
American_US,Easy,1.0,is,2
American_US,Easy,1.0,your,4
American_US,Easy,1.0,time,4
American_US,Easy,1.0,this,4
American_US,Easy,1.0,is,2
American_US,Easy,1.0,my,2
American_US,Easy,1.0,time,4
American_US,Easy,0.9919,our,3
American_US,Easy,1.0,time,4
American_US,Easy,1.0,we,2
American_US,Easy,0.8563,can,3
American_US,Easy,1.0,make,4
American_US,Easy,0.6628,everyday,8
American_US,Easy,1.0,better,6
American_US,Easy,1.0,for,3
American_US,Easy,1.0,each,4
American_US,Easy,1.0,other,5
American_US,Easy,1.0,if,2
American_US,Easy,1.0,all,3
American_US,Easy,1.0,on,2
American_US,Easy,1.0,the,3
American_US,Easy,1.0,same,4
American_US,Easy,1.0,team,4
American_US,Easy,1.0,start,5
American_US,Easy,1.0,acting,6
American_US,Easy,1.0,like,4
American_US,Easy,1.0,it,2
American_US,Easy,0.999,we,2
American_US,Easy,1.0,got,3
American_US,Easy,1.0,work,4
American_US,Easy,1.0,to,2
American_US,Easy,0.8587,dio,3
American_US,Easy,0.9999,we,2
American_US,Easy,0.9997,can,3
American_US,Easy,0.7641,probably,8
American_US,Easy,0.8403,about,5
American_US,Easy,0.9969,it,2
American_US,Easy,0.6523,are,3
American_US,Easy,0.4912,weakened,8
American_US,Easy,0.9964,dance,5
American_US,Easy,0.9992,about,5
American_US,Easy,1.0,it,2
American_US,Easy,1.0,we,2
American_US,Easy,0.9891,were,4
American_US,Easy,1.0,made,4
American_US,Easy,1.0,to,2
American_US,Easy,0.9999,be,2
American_US,Easy,1.0,awesome,7
American_US,Easy,1.0,get,3
American_US,Easy,1.0,out,3
American_US,Easy,0.9963,there,5
American_US,Easy,1.0,i,1
American_US,Easy,1.0,know,4
American_US,Easy,0.999,everything,10
American_US,Easy,1.0,just,4
American_US,Easy,1.0,a,1
American_US,Easy,1.0,kid,3
American_US,Easy,1.0,but,3
American_US,Easy,1.0,i,1
American_US,Easy,0.9989,know,4
American_US,Easy,1.0,this,4
American_US,Easy,1.0,duty,4
American_US,Easy,1.0,to,2
American_US,Easy,1.0,give,4
American_US,Easy,1.0,the,3
American_US,Easy,1.0,world,5
American_US,Easy,0.9955,a,1
American_US,Easy,1.0,reason,6
American_US,Easy,0.9983,to,2
American_US,Easy,0.9967,dance,5
American_US,Easy,1.0,so,2
American_US,Easy,1.0,get,3
American_US,Easy,1.0,it,2
American_US,Medium,0.9975,but,3
American_US,Medium,1.0,then,4
American_US,Medium,1.0,came,4
American_US,Medium,0.9063,my,2
American_US,Medium,1.0,90,2
American_US,Medium,0.9832,page,4
American_US,Medium,0.999,senior,6
American_US,Medium,1.0,thesis,6
American_US,Medium,0.7217,a,1
American_US,Medium,1.0,paper,5
American_US,Medium,1.0,supposed,8
American_US,Medium,1.0,to,2
American_US,Medium,1.0,spend,5
American_US,Medium,1.0,a,1
American_US,Medium,1.0,year,4
American_US,Medium,1.0,on,2
American_US,Medium,1.0,and,3
American_US,Medium,1.0,i,1
American_US,Medium,1.0,knew,4
American_US,Medium,1.0,for,3
American_US,Medium,1.0,a,1
American_US,Medium,1.0,paper,5
American_US,Medium,1.0,like,4
American_US,Medium,1.0,that,4
American_US,Medium,1.0,my,2
American_US,Medium,1.0,normal,6
American_US,Medium,0.7452,workflow,8
American_US,Medium,1.0,was,3
American_US,Medium,1.0,not,3
American_US,Medium,1.0,an,2
American_US,Medium,1.0,option,6
American_US,Medium,1.0,it,2
American_US,Medium,1.0,was,3
American_US,Medium,1.0,way,3
American_US,Medium,0.6842,too,3
American_US,Medium,0.9807,big,3
American_US,Medium,0.8712,air,3
American_US,Medium,1.0,project,7
American_US,Medium,1.0,so,2
American_US,Medium,1.0,i,1
American_US,Medium,0.5442,planned,7
American_US,Medium,0.9997,things,6
American_US,Medium,1.0,out,3
American_US,Medium,1.0,and,3
American_US,Medium,1.0,i,1
American_US,Medium,0.9523,decided,7
American_US,Medium,1.0,i,1
American_US,Medium,1.0,kind,4
American_US,Medium,1.0,of,2
American_US,Medium,1.0,had,3
American_US,Medium,1.0,to,2
American_US,Medium,1.0,go,2
American_US,Medium,1.0,something,9
American_US,Medium,1.0,like,4
American_US,Medium,1.0,this,4
American_US,Medium,1.0,this,4
American_US,Medium,1.0,is,2
American_US,Medium,1.0,how,3
American_US,Medium,0.9982,the,3
American_US,Medium,0.9819,year,4
American_US,Medium,0.9809,would,5
American_US,Medium,1.0,go,2
American_US,Medium,1.0,so,2
American_US,Medium,1.0,start,5
American_US,Medium,1.0,off,3
American_US,Medium,1.0,light,5
American_US,Medium,1.0,and,3
American_US,Medium,0.9896,bump,4
American_US,Medium,1.0,it,2
American_US,Medium,1.0,up,2
American_US,Medium,1.0,in,2
American_US,Medium,1.0,the,3
American_US,Medium,1.0,middle,6
American_US,Medium,1.0,months,6
American_US,Medium,1.0,and,3
American_US,Medium,1.0,then,4
American_US,Medium,1.0,at,2
American_US,Medium,1.0,the,3
American_US,Medium,1.0,end,3
American_US,Medium,1.0,i,1
American_US,Medium,1.0,would,5
American_US,Medium,1.0,kick,4
American_US,Medium,1.0,it,2
American_US,Medium,1.0,up,2
American_US,Medium,0.9996,into,4
American_US,Medium,1.0,high,4
American_US,Medium,1.0,gear,4
American_US,Medium,1.0,just,4
American_US,Medium,1.0,like,4
American_US,Medium,1.0,a,1
American_US,Medium,1.0,little,6
American_US,Medium,0.9976,staircase,9
American_US,Medium,1.0,how,3
American_US,Medium,1.0,hard,4
American_US,Medium,1.0,could,5
American_US,Medium,1.0,it,2
American_US,Medium,0.9992,be,2
American_US,Medium,0.865,to,2
American_US,Medium,1.0,walk,4
American_US,Medium,1.0,up,2
American_US,Medium,1.0,the,3
American_US,Medium,1.0,stairs,6
American_US,Medium,1.0,no,2
American_US,Medium,1.0,big,3
American_US,Medium,1.0,deal,4
American_US,Medium,0.9993,right,5
American_US,Medium,1.0,but,3
American_US,Medium,1.0,then,4
American_US,Medium,1.0,the,3
American_US,Medium,1.0,funniest,8
American_US,Medium,1.0,thing,5
American_US,Medium,1.0,happened,8
American_US,Medium,0.9932,those,5
American_US,Medium,1.0,first,5
American_US,Medium,1.0,few,3
American_US,Medium,1.0,months,6
American_US,Medium,1.0,they,4
American_US,Medium,1.0,came,4
American_US,Medium,1.0,and,3
American_US,Medium,1.0,went,4
American_US,Medium,1.0,and,3
American_US,Medium,1.0,i,1
American_US,Medium,1.0,quite,5
American_US,Medium,0.9978,do,2
American_US,Medium,1.0,stuff,5
American_US,Medium,1.0,so,2
American_US,Medium,1.0,we,2
American_US,Medium,1.0,had,3
American_US,Medium,1.0,an,2
American_US,Medium,1.0,awesome,7
American_US,Medium,0.9948,new,3
American_US,Medium,1.0,revised,7
American_US,Medium,1.0,plan,4
American_US,Medium,1.0,and,3
American_US,Medium,1.0,then,4
American_US,Medium,1.0,but,3
American_US,Medium,1.0,then,4
American_US,Medium,1.0,those,5
American_US,Medium,1.0,middle,6
American_US,Medium,0.9915,months,6
American_US,Medium,1.0,actually,8
American_US,Medium,1.0,went,4
American_US,Medium,1.0,by,2
American_US,Medium,1.0,and,3
American_US,Medium,1.0,i,1
American_US,Medium,0.9929,really,6
American_US,Medium,0.7933,write,5
American_US,Medium,1.0,words,5
American_US,Medium,1.0,and,3
American_US,Medium,1.0,so,2
American_US,Medium,1.0,we,2
American_US,Medium,1.0,were,4
American_US,Medium,0.9993,here,4
American_US,Medium,1.0,and,3
American_US,Medium,1.0,then,4
American_US,Medium,0.9921,two,3
American_US,Medium,0.9996,months,6
American_US,Medium,1.0,turned,6
American_US,Medium,1.0,into,4
American_US,Medium,1.0,one,3
American_US,Medium,0.9976,month,5
American_US,Medium,1.0,which,5
American_US,Medium,1.0,turned,6
American_US,Medium,1.0,into,4
American_US,Medium,0.9995,two,3
American_US,Medium,0.9999,weeks,5
American_US,Medium,1.0,and,3
American_US,Medium,1.0,one,3
American_US,Medium,1.0,day,3
American_US,Medium,1.0,i,1
American_US,Medium,1.0,woke,4
American_US,Medium,1.0,up,2
American_US,Medium,1.0,with,4
American_US,Medium,1.0,three,5
American_US,Medium,1.0,days,4
American_US,Medium,1.0,until,5
American_US,Medium,1.0,the,3
American_US,Medium,1.0,deadline,8
American_US,Medium,0.9988,still,5
American_US,Medium,1.0,not,3
American_US,Medium,1.0,having,6
American_US,Medium,1.0,written,7
American_US,Medium,0.9981,a,1
American_US,Medium,1.0,word,4
American_US,Medium,1.0,and,3
American_US,Medium,1.0,so,2
American_US,Medium,1.0,i,1
American_US,Medium,1.0,did,3
American_US,Medium,1.0,the,3
American_US,Medium,1.0,only,4
American_US,Medium,1.0,thing,5
American_US,Medium,1.0,i,1
American_US,Medium,1.0,could,5
American_US,Medium,0.9956,i,1
American_US,Medium,0.9997,wrote,5
American_US,Medium,1.0,90,2
American_US,Medium,0.9907,pages,5
American_US,Medium,1.0,over,4
American_US,Medium,1.0,72,2
American_US,Medium,1.0,hours,5
American_US,Medium,0.9994,pulling,7
American_US,Medium,1.0,not,3
American_US,Medium,1.0,one,3
American_US,Medium,1.0,but,3
American_US,Medium,0.9995,two,3
American_US,Medium,1.0,all,3
American_US,Medium,1.0,nighters,8
American_US,Medium,0.9729,humans,6
American_US,Medium,0.4818,air,3
American_US,Medium,1.0,not,3
American_US,Medium,1.0,supposed,8
American_US,Medium,1.0,to,2
American_US,Medium,1.0,pull,4
American_US,Medium,0.8551,two,3
American_US,Medium,1.0,all,3
American_US,Medium,1.0,nighters,8
American_US,Medium,1.0,sprinted,8
American_US,Medium,1.0,across,6
American_US,Medium,1.0,campus,6
American_US,Medium,0.8969,dub,3
American_US,Medium,0.9883,in,2
American_US,Medium,0.9985,slow,4
American_US,Medium,1.0,motion,6
American_US,Medium,1.0,and,3
American_US,Medium,0.9994,guided,6
American_US,Medium,0.9972,in,2
American_US,Medium,1.0,just,4
American_US,Medium,0.9411,a,1
American_US,Medium,0.9398,the,3
American_US,Medium,0.9987,deadline,8
American_US,Hard,0.999,learning,8
American_US,Hard,1.0,in,2
American_US,Hard,1.0,complex,7
American_US,Hard,0.973,domains,7
American_US,Hard,1.0,such,4
American_US,Hard,0.9939,as,2
American_US,Hard,1.0,science,7
American_US,Hard,1.0,and,3
American_US,Hard,1.0,engineering,11
American_US,Hard,1.0,or,2
American_US,Hard,1.0,making,6
American_US,Hard,0.9959,diagnoses,9
American_US,Hard,1.0,in,2
American_US,Hard,1.0,medicine,8
American_US,Hard,1.0,or,2
American_US,Hard,1.0,other,5
American_US,Hard,0.9997,fields,6
American_US,Hard,1.0,often,5
American_US,Hard,1.0,requires,8
American_US,Hard,1.0,that,4
American_US,Hard,0.9986,students,8
American_US,Hard,0.9865,bring,5
American_US,Hard,1.0,substantial,11
American_US,Hard,0.9987,amounts,7
American_US,Hard,1.0,of,2
American_US,Hard,0.9996,prior,5
American_US,Hard,1.0,learning,8
American_US,Hard,0.9947,to,2
American_US,Hard,0.9604,bear,4
American_US,Hard,1.0,in,2
American_US,Hard,0.9508,order,5
American_US,Hard,0.9505,to,2
American_US,Hard,0.9999,understand,10
American_US,Hard,0.9988,and,3
American_US,Hard,1.0,acquire,7
American_US,Hard,1.0,new,3
American_US,Hard,1.0,knowledge,9
American_US,Hard,0.9851,or,2
American_US,Hard,0.9976,solve,5
American_US,Hard,1.0,problems,8
American_US,Hard,0.9975,some,4
American_US,Hard,0.9973,prior,5
American_US,Hard,1.0,learning,8
American_US,Hard,0.6271,may,3
American_US,Hard,0.6271,be,2
American_US,Hard,0.9942,recalled,8
American_US,Hard,0.6443,imperfectly,11
American_US,Hard,0.9992,or,2
American_US,Hard,1.0,may,3
American_US,Hard,1.0,never,5
American_US,Hard,1.0,have,4
American_US,Hard,1.0,been,4
American_US,Hard,1.0,completely,10
American_US,Hard,0.9837,mastered,8
American_US,Hard,1.0,during,6
American_US,Hard,1.0,initial,7
American_US,Hard,1.0,acquisition,11
American_US,Hard,1.0,students,8
American_US,Hard,1.0,who,3
American_US,Hard,1.0,can,3
American_US,Hard,1.0,accurately,10
American_US,Hard,0.9901,distinguish,11
American_US,Hard,1.0,between,7
American_US,Hard,1.0,what,4
American_US,Hard,1.0,they,4
American_US,Hard,0.9971,know,4
American_US,Hard,1.0,and,3
American_US,Hard,1.0,do,2
American_US,Hard,1.0,not,3
American_US,Hard,0.9592,know,4
American_US,Hard,1.0,should,6
American_US,Hard,1.0,be,2
American_US,Hard,1.0,at,2
American_US,Hard,1.0,an,2
American_US,Hard,1.0,advantage,9
American_US,Hard,1.0,while,5
American_US,Hard,1.0,working,7
American_US,Hard,1.0,in,2
American_US,Hard,1.0,such,4
American_US,Hard,0.9995,domains,7
American_US,Hard,1.0,since,5
American_US,Hard,1.0,more,4
American_US,Hard,1.0,likely,6
American_US,Hard,1.0,to,2
American_US,Hard,0.9988,review,6
American_US,Hard,1.0,and,3
American_US,Hard,1.0,try,3
American_US,Hard,1.0,to,2
American_US,Hard,0.7603,relearn,7
American_US,Hard,0.6311,imperfectly,11
American_US,Hard,1.0,mastered,8
American_US,Hard,0.9995,materials,9
American_US,Hard,1.0,needed,6
American_US,Hard,1.0,for,3
American_US,Hard,1.0,particular,10
